Date,Exercise,Amount
2022-01-01,Posture,0
2022-01-01,Push Ups,0
2022-01-01,Squats,0
2023-06-21,Push Ups,2
2023-06-21,Squats,3
2023-07-21,Posture,11
2023-07-21,Push Ups,5
2023-07-21,Squats,2
2023-07-22,Posture,72
2023-07-22,Push Ups,1
2023-07-23,Posture,256
2023-07-24,Posture,82
2023-07-24,Push Ups,5
2023-07-24,Squats,18
2023-07-25,Squats,3
2023-07-25,Push Ups,2
2023-07-25,Push Ups,7
2023-07-25,Posture,51
2023-07-25,Posture,24
2023-07-25,Squats,2
2023-07-25,Squats,11
2023-07-25,Squats,4
